Round,"(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(0, 7)","(0, 8)","(0, 9)","(0, 10)",
10,1.0,0.9025,0.8062,0.7028,0.6067,0.5072,0.4025,0.3008,0.1981,0.0927,
10,1.0,0.8987,0.7957,0.7028,0.5985,0.4968,0.398,0.2994,0.2007,0.0991,
10,1.0,0.8969,0.795,0.7013,0.603,0.4985,0.3902,0.2906,0.191,0.0922,
10,1.0,0.8952,0.7947,0.6983,0.5984,0.5016,0.3981,0.2989,0.199,0.0976,
10,1.0,0.9002,0.8006,0.7061,0.604,0.4996,0.4035,0.3024,0.2018,0.0983,
10,1.0,0.8986,0.7949,0.6937,0.5953,0.4959,0.3935,0.289,0.1873,0.0853,
10,1.0,0.9001,0.8045,0.7071,0.6028,0.506,0.4022,0.3024,0.203,0.1046,
10,1.0,0.899,0.8067,0.7062,0.6049,0.5071,0.4099,0.305,0.2084,0.1049,
10,1.0,0.8988,0.8016,0.7042,0.6055,0.5079,0.4095,0.3058,0.2054,0.1055,
10,1.0,0.8993,0.7974,0.693,0.5881,0.4889,0.3851,0.2869,0.1883,0.0884,
10,1.0,0.8991,0.8016,0.7073,0.6067,0.5041,0.4089,0.3078,0.2049,0.1002,
10,1.0,0.9005,0.7989,0.6977,0.5973,0.4935,0.3973,0.2991,0.1995,0.1008,
10,1.0,0.8981,0.8001,0.6979,0.5948,0.4931,0.3904,0.287,0.1858,0.0881,
10,1.0,0.8976,0.7983,0.6976,0.5992,0.4979,0.3958,0.2924,0.194,0.0959,
10,1.0,0.9018,0.7988,0.6988,0.5987,0.4966,0.3993,0.2981,0.1998,0.0985,
10,1.0,0.9006,0.8032,0.7024,0.6048,0.5113,0.4108,0.3082,0.2127,0.1105,
10,1.0,0.9014,0.8056,0.7105,0.6065,0.5079,0.4112,0.3108,0.2124,0.1129,
10,1.0,0.8976,0.7915,0.6934,0.5911,0.4916,0.3902,0.2854,0.1792,0.08,
10,1.0,0.9014,0.8071,0.7067,0.6016,0.5029,0.3997,0.2957,0.189,0.0893,
10,1.0,0.8996,0.8027,0.7009,0.606,0.5029,0.4025,0.2964,0.1995,0.1008,
10,1.0,0.9042,0.8036,0.7028,0.6012,0.5021,0.4031,0.3074,0.2088,0.1074,
